Web Search interest: xoom transfast remitly tawipay transferwise
United Kingdom Jan-Mar 2016

Interest over time
Day,xoom,transfast,remitly,tawipay,transferwise
2016-01-01,7,0,2,0,34
2016-01-02,3,3,0,0,39
2016-01-03,3,1,0,0,45
2016-01-04,4,1,0,0,69
2016-01-05,3,1,0,0,60
2016-01-06,3,1,0,0,63
2016-01-07,7,1,0,0,64
2016-01-08,3,1,0,0,61
2016-01-09,6,1,0,0,48
2016-01-10,5,1,0,0,50
2016-01-11,3,3,0,0,61
2016-01-12,4,1,0,0,72
2016-01-13,5,1,1,0,66
2016-01-14,3,3,0,0,57
2016-01-15,4,1,0,0,66
2016-01-16,3,2,0,0,51
2016-01-17,4,1,0,0,48
2016-01-18,2,1,0,0,82
2016-01-19,4,2,0,0,84
2016-01-20,4,1,0,0,76
2016-01-21,2,3,0,0,69
2016-01-22,4,2,0,0,67
2016-01-23,6,1,0,0,44
2016-01-24,5,1,0,0,43
2016-01-25,4,1,0,0,64
2016-01-26,4,1,0,0,68
2016-01-27,5,2,0,0,72
2016-01-28,8,3,0,0,82
2016-01-29,2,1,0,0,72
2016-01-30,4,3,0,0,58
2016-01-31,7,1,0,0,56
2016-02-01,4,2,0,0,82
2016-02-02,3,1,0,0,74
2016-02-03,4,1,1,0,75
2016-02-04,4,2,1,0,86
2016-02-05,5,3,0,0,71
2016-02-06,3,1,0,0,53
2016-02-07,2,2,0,0,47
2016-02-08,3,3,0,0,68
2016-02-09,2,1,0,0,62
2016-02-10,4,2,0,0,60
2016-02-11,3,3,0,0,74
2016-02-12,3,1,0,0,72
2016-02-13,2,2,0,0,43
2016-02-14,4,2,0,0,53
2016-02-15,5,3,0,0,63
2016-02-16,5,1,0,0,74
2016-02-17,3,3,0,0,63
2016-02-18,6,3,0,0,60
2016-02-19,3,1,0,0,67
2016-02-20,3,3,0,0,56
2016-02-21,3,3,0,0,46
2016-02-22,3,3,1,0,84
2016-02-23,4,1,1,0,75
2016-02-24,8,3,1,0,77
2016-02-25,4,1,1,0,80
2016-02-26,6,2,1,0,76
2016-02-27,35,2,2,0,60
2016-02-28,10,2,2,0,57
2016-02-29,8,2,3,0,100
2016-03-01,11,3,3,0,83
2016-03-02,9,3,3,0,88
2016-03-03,6,2,3,0,74
2016-03-04,5,3,3,0,76
2016-03-05,5,3,1,0,57
2016-03-06,12,2,1,0,55
2016-03-07,3,3,1,0,70
2016-03-08,4,2,1,0,77
2016-03-09,4,3,1,0,60
2016-03-10,5,1,0,0,63
2016-03-11,6,1,0,0,66
2016-03-12,5,2,0,0,44
2016-03-13,3,1,0,0,41
2016-03-14,4,1,0,0,77
2016-03-15,4,1,0,0,62
2016-03-16,5,3,0,0,64
2016-03-17,5,3,0,0,61
2016-03-18,6,3,0,0,60
2016-03-19,8,2,0,0,45
2016-03-20,7,2,0,0,51
2016-03-21,4,2,0,0,66
2016-03-22,2,1,0,0,66
2016-03-23,8,1,1,0,67
2016-03-24,3,1,1,0,70
2016-03-25,8,2,0,0,58
2016-03-26,7,2,0,0,46
2016-03-27,9,3,0,0,39
2016-03-28,4,2,0,0,53
2016-03-29,6,2,0,0,89
2016-03-30,5,2,0,0,82
2016-03-31,5,2,0,0,83


Top subregions for xoom
Subregion,xoom,transfast,remitly,tawipay,transferwise
England,100,100,100,0,100
Scotland,85,0,0,0,69
Wales,74,0,0,0,44
Northern Ireland,67,0,0,0,70

Top subregions for transfast
Subregion,xoom,transfast,remitly,tawipay,transferwise
England,100,100,100,0,100
Northern Ireland,67,0,0,0,70
Scotland,85,0,0,0,69
Wales,74,0,0,0,44

Top subregions for remitly
Subregion,xoom,transfast,remitly,tawipay,transferwise
England,100,100,100,0,100
Northern Ireland,67,0,0,0,70
Scotland,85,0,0,0,69
Wales,74,0,0,0,44

Top subregions for tawipay
Subregion,xoom,transfast,remitly,tawipay,transferwise
England,100,100,100,0,100
Northern Ireland,67,0,0,0,70
Scotland,85,0,0,0,69
Wales,74,0,0,0,44

Top subregions for transferwise
Subregion,xoom,transfast,remitly,tawipay,transferwise
England,100,100,100,0,100
Northern Ireland,67,0,0,0,70
Scotland,85,0,0,0,69
Wales,74,0,0,0,44


Top cities for xoom
City,xoom
London,100




Top cities for transferwise
City,transferwise
London,100



Top searches for xoom
xoom uk,100
motorola xoom,95
xoom money transfer,35
xoom paypal,25


Top searches for transfast
transfast uk,100






Top searches for transferwise
transferwise uk,100
transferwise login,30
transferwise review,15
transferwise reviews,10
gbp to inr,10
transfer wise,5
is transferwise safe,5
pound to inr,5



Rising searches for xoom
xoom paypal,+160%
xoom money transfer,+40%











